ISTASYON,PROJE_ADI,HAT_TURU,lat,lon
Balat,T5 Eminönü - Alibeyköy Cep Otogarı Tramvay Hattı,Tramvay,41.0340557692,28.9480367019
Metris,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Tramvay,41.0802277875,28.8756232689
Acıbadem,M4 Kadıköy - SGH Metro Hattı,Metro,41.0022997833,29.0445867059
Ayrılık Çeşmesi,M4 Kadıköy - SGH Metro Hattı,Metro,41.0000996226,29.0303161782
Rumeli Hisarüstü,M6 Levent - Boğaziçi Ünv./Hisarüstü Metro Hattı,Metro,41.0853512482,29.0455710525
İkitelli Sanayi,M3 Kirazlı - Kayaşehir Merkez Metro Hattı,Metro,41.0724316434,28.8023325524
Başakşehir - Metrokent,M3 Kirazlı - Kayaşehir Merkez Metro Hattı,Metro,41.1075881712,28.8014808953
Küçükyalı,M4 Kadıköy - SGH Metro Hattı,Metro,40.9490497377,29.121853858
Sultançifliği,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Tramvay,41.1061810067,28.8606058814
Şişhane - Zemin İstanbul,M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Metro,41.0282905337,28.9728491187
Kadıköy,M4 Kadıköy - SGH Metro Hattı,Metro,40.9904063985,29.0219549908
Şişli,M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Metro,41.0645050502,28.9926737246
Necip Fazıl,M5 Üsküdar - Çekmeköy Metro Hattı,Metro,41.0160785116,29.1792056992
Kartal,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,40.8886128832,29.191190141
Söğütlüçeşme,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,40.9909023378,29.0376279459
Yeşilpınar,M7 Yıldız - Mahmutbey Metro Hattı,Metro,41.0823042034,28.9183127582
İmam Hatip,M5 Üsküdar - Çekmeköy Metro Hattı,Metro,41.0159627424,29.1515186058
Kazlıçeşme,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,40.9926862409,28.9168778133
Altınşehir,M5 Üsküdar - Çekmeköy Metro Hattı,Metro,41.0165423463,29.1405619719
Yenikapı,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,41.0050201028,28.950826891
Altunizade,M5 Üsküdar - Çekmeköy Metro Hattı,Metro,41.021954492,29.0482914336
Ihlamurkuyu,M5 Üsküdar - Çekmeköy Metro Hattı,Metro,41.0197169944,29.1304702884
Çekmeköy,M5 Üsküdar - Çekmeköy Metro Hattı,Metro,41.0145632479,29.189207926
Göztepe,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,40.9791648388,29.0625591735
Tuzla,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,40.829952436,29.3223601331
İDO,T3 Kadıköy - Moda Nostaljik Tramvay Hattı,Tramvay,40.9899103415,29.0207706082
Hastane - Adliye,M4 Kadıköy - SGH Metro Hattı,Metro,40.9161698138,29.178771727
Osmanbey,M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Metro,41.0524927818,28.9874152263
Topkapı - Ulubatlı,M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Metro,41.0240232433,28.9305073648
Merter,M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Metro,41.0076440847,28.896181044
Cevizlibağ,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,41.0159539922,28.9115778282
Esenkent,M4 Kadıköy - SGH Metro Hattı,Metro,40.9208832243,29.1663490467
Ziya Gökalp Mahallesi,M9 Bahariye - Olimpiyat Metro Hattı,Metro,41.0744821902,28.7865302451
Nispetiye,M6 Levent - Boğaziçi Ünv./Hisarüstü Metro Hattı,Metro,41.0773106797,29.0242490175
Turgut Özal,M3 Kirazlı - Kayaşehir Merkez Metro Hattı,Metro,41.0811835113,28.797408964
Emniyet - Fatih,M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Metro,41.0176097243,28.9396003277
Bosna Çukurçeşme,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Tramvay,41.0618358936,28.9020835612
Göztepe,M4 Kadıköy - SGH Metro Hattı,Metro,40.9940461002,29.0707261384
Akşemsettin,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,41.004213274,28.9075169292
Yenikapı,M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Metro,41.0055856644,28.9514201471
Üçyüzlü,M1B Yenikapı - Kirazlı Metro Hattı,Metro,41.0367198157,28.8706380252
Beyazıt,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,41.0090671307,28.9666983534
Zeytinburnu,M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Metro,41.0016990483,28.8896559931
Cumhuriyet Mah.,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Tramvay,41.0841529031,28.8719867341
Dünya  Ticaret Merkezi,M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Metro,40.9866437703,28.8285542483
Yamanevler,M5 Üsküdar - Çekmeköy Metro Hattı,Metro,41.0241552372,29.108777832
Feneryolu,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,40.978696151,29.0490084627
Kaynarca,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,40.8713029434,29.2560336339
Nurtepe,M7 Yıldız - Mahmutbey Metro Hattı,Metro,41.0797649097,28.9635421453
Aydıntepe,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,40.8522885877,29.2931664015
Cevizli,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,40.9100151225,29.1560454699
Yenimahalle,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,40.9817327416,28.8810549364
Alibeyköy,M7 Yıldız - Mahmutbey Metro Hattı,Metro,41.0791146521,28.9496326544
Başak,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,40.8905590783,29.1773527137
Eminönü,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,41.0174751806,28.9732136953
Topçular,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Tramvay,41.0416185494,28.9195379435
Bahçelievler,M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Metro,40.9953514712,28.8630701218
Terazidere,M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Metro,41.0303299066,28.8979561956
İskele,T3 Kadıköy - Moda Nostaljik Tramvay Hattı,Tramvay,40.9908757898,29.0234841795
Sağmalcılar,M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Metro,41.040852645,28.9072392503
50.Yıl,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Tramvay,41.0879075061,28.8667654908
Sanayi Mah.,M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Metro,41.0943010952,29.0055310949
Sarıgazi,M5 Çekmeköy-Sultanbeyli Metro Hattı Uzatması,Metro,41.010138601,29.2120882819
Mevlana,M8 Bostancı - Dudullu Metro Hattı,Metro,40.992156465,29.1533571204
Fulya,M7 Yıldız - Mahmutbey Metro Hattı,Metro,41.0619944468,29.0074130115
Beşiktaş,M7 (U2) Kabataş - Mecidiyeköy Metro Hattı,Metro,41.0434905571,29.0074506142
Yıldız,M7 Yıldız - Mahmutbey Metro Hattı,Metro,41.054110438,29.0096778157
Esenyurt Meydanı,M7 (U4) Mahmutbey - Bahçeşehir- Esenyurt Metro Hattı,Metro,41.0349647043,28.6793243504
Seyrantepe,M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Metro,41.1011134287,28.9960969818
Akıncılar,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,41.0173348574,28.8710345188
Ayvansaray,T5 Eminönü - Alibeyköy Cep Otogarı Tramvay Hattı,Tramvay,41.03956207,28.9439490435
Eyüpsultan Devlet Hastanesi,T5 Eminönü - Alibeyköy Cep Otogarı Tramvay Hattı,Tramvay,41.056729923,28.9411189488
Silahtarağa Mahallesi,T5 Eminönü - Alibeyköy Cep Otogarı Tramvay Hattı,Tramvay,41.0647767596,28.9428944835
Karaköy,F2 Karaköy - Beyoğlu Tünel Füniküler Hattı,Füniküler,41.0227730939,28.9740377459
Tünel,F2 Karaköy - Beyoğlu Tünel Füniküler Hattı,Füniküler,41.0284213663,28.9740491197
İkitelli Sanayi,M9 Bahariye - Olimpiyat Metro Hattı,Metro,41.0723497502,28.802129563
Çayırova,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,40.8103767335,29.3474462443
Fatih,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,40.8075100987,29.3638554302
Osmangazi,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,40.799227689,29.3800379757
Darıca,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,40.7913449435,29.3919754761
Gebze,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,40.7840644551,29.409965741
Pier Loti,TF2 Eyüp - Pier Loti Teleferik Hattı,Teleferik,41.0540348217,28.932979553
Eyüp,TF2 Eyüp - Pier Loti Teleferik Hattı,Teleferik,41.0500152491,28.9340681863
Maçka,TF1 Maçka - Taşkışla Teleferik Hattı,Teleferik,41.044737154,28.9939499162
Taşkışla,TF1 Maçka - Taşkışla Teleferik Hattı,Teleferik,41.0436318448,28.9905733691
Hasdal,M11 Gayrettepe - İstanbul Havalimanı Metro Hattı,Metro,41.1212997004,28.9468463059
Yeni Havalimanı - 2,M11 Gayrettepe - İstanbul Havalimanı Metro Hattı,Metro,41.2564077956,28.7685326311
Yeni Havalimanı - 3,M11 Gayrettepe - İstanbul Havalimanı Metro Hattı,Metro,41.2554334556,28.7127665942
Yeni Havalimanı - 1,M11 Gayrettepe - İstanbul Havalimanı Metro Hattı,Metro,41.2559358205,28.7426387571
