population,neighborhood,township,neighborhood_id,latitude,longitude
12300,Akevler,Esenyurt,181498,41.01813433473279,28.676641592125353
7943,Akşemseddin,Esenyurt,181504,41.01719126773752,28.697329441282857
8066,Ardıçlı,Esenyurt,40861,41.04844001780111,28.67947328558283
15713,Aşık Veysel,Esenyurt,181518,41.061714927850346,28.674062700644757
15633,Atatürk,Esenyurt,40881,41.03619693869743,28.632387237547462
29653,Balıkyolu,Esenyurt,181510,41.03820740224699,28.690499486423693
27731,Barbaros Hayrettin Paşa,Esenyurt,181488,41.021108667437254,28.64078146313821
17924,Battalgazi,Esenyurt,181526,41.038842446619334,28.656642174215797
31640,Çınar,Esenyurt,181514,41.03993180233299,28.667037758312592
14338,Cumhuriyet,Esenyurt,40865,41.01713861594934,28.64921184145837
9482,Esenkent,Esenyurt,40862,41.058882121957886,28.682088668556887
27586,Fatih,Esenyurt,40851,41.03027980967546,28.67608881429619
16483,Gökevler,Esenyurt,181490,41.025227055892856,28.631513377627737
17554,Güzelyurt,Esenyurt,40895,41.01029368707567,28.66696868497248
28560,Hürriyet,Esenyurt,181482,41.03135998827785,28.64542031710586
27941,İncirtepe,Esenyurt,40852,41.02121106531701,28.692701285516033
26536,İnönü,Esenyurt,40853,41.026609184356666,28.688871311724668
18844,İstiklal,Esenyurt,40879,41.03683053296936,28.64957199688222
9295,Koza,Esenyurt,181522,41.060749588519286,28.662491234516946
26327,Mehmet Akif Ersoy,Esenyurt,181494,41.01591481697149,28.667560632164353
37378,Mehterçeşme,Esenyurt,40854,41.01911611463603,28.661680459714376
32537,Merkez,Esenyurt,40855,41.036258781095555,28.674868423091695
14701,Mevlana,Esenyurt,181492,41.01293446581848,28.654933261441506
23318,Namık Kemal,Esenyurt,40856,41.00777783581546,28.689553277344633
20160,Necip Fazıl Kısakürek,Esenyurt,181484,41.03073992371881,28.654168752705203
17665,Orhan Gazi,Esenyurt,40863,41.066417125692254,28.65705579490595
20222,Örnek,Esenyurt,40857,41.04471852084384,28.670430058313453
30900,Osmangazi,Esenyurt,181480,41.04310834582165,28.647439600856202
42595,Pınar,Esenyurt,40864,41.03394184168688,28.66682699638438
16469,Piri Reis,Esenyurt,181486,41.0264828698485,28.649192995298932
24174,Saadetdere,Esenyurt,40858,41.00864777054882,28.697354472021672
16977,Şehitler,Esenyurt,181524,41.03405585016018,28.655739824712917
29913,Selahaddin Eyyubi,Esenyurt,181516,41.04280529439798,28.660015602697868
34601,Süleymaniye,Esenyurt,181512,41.04391371493228,28.684949805557675
22249,Sultaniye,Esenyurt,181508,41.03568940317499,28.68487010269374
28619,Talatpaşa,Esenyurt,40859,41.023482188715356,28.671820242968757
27220,Turgut Özal,Esenyurt,181502,41.00363126084174,28.696942864603216
27280,Üçevler,Esenyurt,181496,41.026879156158024,28.680933280199167
23293,Yenikent,Esenyurt,40860,41.039416273466735,28.681142851765735
36488,Yeşilkent,Esenyurt,40866,41.02456026573528,28.66142664240726
22601,Yunus Emre,Esenyurt,181506,41.02702438321715,28.695706004896962
22852,Zafer,Esenyurt,181500,41.01454406739204,28.682169330802036
12279,5.Levent,Eyüpsultan,116251,41.089003167492606,28.948629491596186
38332,Akşemsettin,Eyüpsultan,40358,41.08420483126201,28.924133518237166
13392,Alibeyköy,Eyüpsultan,40359,41.07965498797654,28.946574622363073
37557,Çırçır,Eyüpsultan,40360,41.08141347075751,28.93639252365993
4461,Defterdar,Eyüpsultan,40361,41.03642006741937,28.9316603648165
17564,Düğmeciler,Eyüpsultan,40362,41.04466614839521,28.92704808595965
10637,Emniyettepe,Eyüpsultan,40363,41.06865365795611,28.950142277352764
22014,Esentepe,Eyüpsultan,40364,41.069024202177204,28.937560390966144
39235,Göktürk Merkez,Eyüpsultan,40379,41.180422090927784,28.889046006751155
33653,Güzeltepe,Eyüpsultan,40366,41.07813039317989,28.955480994164354
16075,İslambey,Eyüpsultan,40367,41.05230750959993,28.927535166265734
31804,Karadolap,Eyüpsultan,40368,41.07431614723145,28.933652616268844
11706,Merkez,Eyüpsultan,40365,41.05569431131675,28.93657516631736
7490,Mimar Sinan,Eyüpsultan,40369,41.15672596414377,28.91796759936368
8909,Mithatpaşa,Eyüpsultan,40370,41.16109166755548,28.903393795559207
15119,Nişancı,Eyüpsultan,40371,41.04207081657938,28.933185015421707
3409,Pirinççi,Eyüpsultan,191753,41.16347278712003,28.851069104676373
14715,Rami Cuma,Eyüpsultan,40372,41.04981129948958,28.92229025085848
14824,Rami Yeni,Eyüpsultan,40373,41.05154447799046,28.917744091849084
10770,Sakarya,Eyüpsultan,40374,41.066389924319935,28.940924499803003
10158,Silahtarağa,Eyüpsultan,40375,41.06167464528462,28.93972404772579
5142,Topçular,Eyüpsultan,40376,41.04037267911108,28.921494957188848
38486,Yeşilpınar,Eyüpsultan,40378,41.07711344441152,28.92058730327767
8089,Aksaray,Fatih,99127,41.00520386811247,28.94861762645827
18608,Akşemsettin,Fatih,99137,41.01780208749531,28.94440681172342
9492,Ali Kuşçu,Fatih,99141,41.02133905919093,28.948436258871933
