




|İstanbul(Bayrampaşa/Bayrampaşa Bel./Cevatpaşa Mah.)-40203|18555.0|
|İstanbul(Bayrampaşa/Bayrampaşa Bel./İsmet Paşa Mah.)-40209|14710.0|
|İstanbul(Bayrampaşa/Bayrampaşa Bel./Kartaltepe Mah.)-40211|43124.0|
|İstanbul(Bayrampaşa/Bayrampaşa Bel./Kocatepe Mah.)-40212|20414.0|
|İstanbul(Bayrampaşa/Bayrampaşa Bel./Muratpaşa Mah.)-40213|32944.0|
|İstanbul(Bayrampaşa/Bayrampaşa Bel./Orta Mah.)-40204|15180.0|
|İstanbul(Bayrampaşa/Bayrampaşa Bel./Terazidere Mah.)-40206|15206.0|
|İstanbul(Bayrampaşa/Bayrampaşa Bel./Vatan Mah.)-40205|9339.0|
|İstanbul(Bayrampaşa/Bayrampaşa Bel./Yenidoğan Mah.)-40208|17941.0|
|İstanbul(Bayrampaşa/Bayrampaşa Bel./Yıldırım Mah.)-40210|52035.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Abbasağa Mah.)-40219|4157.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Akat Mah.)-40234|12328.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Arnavutköy Mah.)-40231|3409.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Balmumcu Mah.)-40223|2915.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Bebek Mah.)-40232|5300.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Cihannüma Mah.)-40217|3521.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Dikilitaş Mah.)-40221|14787.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Etiler Mah.)-40233|10419.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Gayrettepe Mah.)-40222|12786.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Konaklar Mah.)-40236|15878.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Kültür Mah.)-40229|4435.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Kuruçeşme Mah.)-40228|2787.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Levazım Mah.)-40226|6017.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Levent Mah.)-40235|2766.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Mecidiye Mah.)-40224|9710.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Muradiye Mah.)-40216|4505.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Nisbetiye Mah.)-40230|10943.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Ortaköy Mah.)-40225|9121.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Sinanpaşa Mah.)-40215|2162.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Türkali Mah.)-40218|9615.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Ulus Mah.)-40227|6761.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Vişnezade Mah.)-40214|8337.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Yıldız Mah.)-40220|4605.0|
|İstanbul(Beykoz/Beykoz Bel./Acarlar Mah.)-40250|8915.0|
|İstanbul(Beykoz/Beykoz Bel./Akbaba Mah.)-191701|2695.0|
|İstanbul(Beykoz/Beykoz Bel./Alibahadır Mah.)-191703|781.0|
|İstanbul(Beykoz/Beykoz Bel./Anadolufeneri Mah.)-191705|687.0|
|İstanbul(Beykoz/Beykoz Bel./Anadolu Hisarı Mah.)-40243|2499.0|
|İstanbul(Beykoz/Beykoz Bel./Anadolu Kavağı Mah.)-40256|1262.0|
|İstanbul(Beykoz/Beykoz Bel./Baklacı Mah.)-40257|3181.0|
|İstanbul(Beykoz/Beykoz Bel./Bozhane Mah.)-191725|464.0|
|İstanbul(Beykoz/Beykoz Bel./Çamlıbahçe Mah.)-40253|6133.0|
|İstanbul(Beykoz/Beykoz Bel./Çengeldere Mah.)-40258|5414.0|
|İstanbul(Beykoz/Beykoz Bel./Çiftlik Mah.)-40259|5740.0|
|İstanbul(Beykoz/Beykoz Bel./Çiğdem Mah.)-40240|10888.0|
|İstanbul(Beykoz/Beykoz Bel./Çubuklu Mah.)-40241|20302.0|
|İstanbul(Beykoz/Beykoz Bel./Cumhuriyet Mah.)-191727|1966.0|
|İstanbul(Beykoz/Beykoz Bel./Dereseki Mah.)-191709|1648.0|
|İstanbul(Beykoz/Beykoz Bel./Elmalı Mah.)-191711|3122.0|
|İstanbul(Beykoz/Beykoz Bel./Fatih Mah.)-40260|4251.0|
|İstanbul(Beykoz/Beykoz Bel./Göksu Mah.)-40244|2320.0|
|İstanbul(Beykoz/Beykoz Bel./Göllü Mah.)-191729|252.0|
|İstanbul(Beykoz/Beykoz Bel./Görele Mah.)-191713|2070.0|
|İstanbul(Beykoz/Beykoz Bel./Göztepe Mah.)-40246|9388.0|
|İstanbul(Beykoz/Beykoz Bel./Gümüşsuyu Mah.)-40237|12996.0|
|İstanbul(Beykoz/Beykoz Bel./İncirköy Mah.)-40238|16602.0|
|İstanbul(Beykoz/Beykoz Bel./İshaklı Mah.)-191731|1364.0|
|İstanbul(Beykoz/Beykoz Bel./Kanlıca Mah.)-40242|3819.0|
|İstanbul(Beykoz/Beykoz Bel./Kavacık Mah.)-40247|22138.0|
|İstanbul(Beykoz/Beykoz Bel./Kaynarca Mah.)-191715|821.0|
|İstanbul(Beykoz/Beykoz Bel./Kılıçlı Mah.)-191733|540.0|
|İstanbul(Beykoz/Beykoz Bel./Mahmutşevketpaşa Mah.)-191723|1817.0|
|İstanbul(Beykoz/Beykoz Bel./Merkez Mah.)-40251|5819.0|
|İstanbul(Beykoz/Beykoz Bel./Öğümce Mah.)-191735|493.0|
|İstanbul(Beykoz/Beykoz Bel./Örnekköy Mah.)-191721|4299.0|
|İstanbul(Beykoz/Beykoz Bel./Ortaçeşme Mah.)-40254|7754.0|
|İstanbul(Beykoz/Beykoz Bel./Paşabahçe Mah.)-40239|3677.0|
|İstanbul(Beykoz/Beykoz Bel./Paşamandıra Mah.)-191737|1374.0|
